2025-06-11 13:51:50,738 - INFO - [2025-06-11 13:51:50] Servidor escuchando en 0.0.0.0:65432...
2025-06-11 13:54:07,539 - INFO - [2025-06-11 13:54:07] Conectado por 192.168.1.4:52883
2025-06-11 14:12:39,199 - INFO - [2025-06-11 14:12:39.199] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-041
2025-06-11 14:12:39,200 - INFO - [2025-06-11 14:12:39.200] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-041
2025-06-11 14:12:40,223 - INFO - [2025-06-11 14:12:40.223] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-042
2025-06-11 14:12:40,224 - INFO - [2025-06-11 14:12:40.223] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-042
2025-06-11 14:12:41,247 - INFO - [2025-06-11 14:12:41.247] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-043
2025-06-11 14:12:41,247 - INFO - [2025-06-11 14:12:41.247] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-043
2025-06-11 14:12:42,373 - INFO - [2025-06-11 14:12:42.373] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-044
2025-06-11 14:12:42,374 - INFO - [2025-06-11 14:12:42.374] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-044
2025-06-11 14:12:43,397 - INFO - [2025-06-11 14:12:43.397] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-045
2025-06-11 14:12:43,398 - INFO - [2025-06-11 14:12:43.398] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-045
2025-06-11 14:12:44,421 - INFO - [2025-06-11 14:12:44.421] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-046
2025-06-11 14:12:44,421 - INFO - [2025-06-11 14:12:44.421] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-046
2025-06-11 14:12:45,426 - INFO - [2025-06-11 14:12:45.426] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-047
2025-06-11 14:12:45,426 - INFO - [2025-06-11 14:12:45.426] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-047
2025-06-11 14:12:46,473 - INFO - [2025-06-11 14:12:46.473] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-048
2025-06-11 14:12:46,474 - INFO - [2025-06-11 14:12:46.474] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-048
2025-06-11 14:12:47,493 - INFO - [2025-06-11 14:12:47.493] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-049
2025-06-11 14:12:47,493 - INFO - [2025-06-11 14:12:47.493] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-049
2025-06-11 14:12:48,518 - INFO - [2025-06-11 14:12:48.518] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-050
2025-06-11 14:12:48,519 - INFO - [2025-06-11 14:12:48.519] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-050
2025-06-11 14:12:49,541 - INFO - [2025-06-11 14:12:49.540] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-051
2025-06-11 14:12:49,541 - INFO - [2025-06-11 14:12:49.541] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-051
2025-06-11 14:12:50,567 - INFO - [2025-06-11 14:12:50.567] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-052
2025-06-11 14:12:50,568 - INFO - [2025-06-11 14:12:50.568] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-052
2025-06-11 14:12:51,588 - INFO - [2025-06-11 14:12:51.588] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-053
2025-06-11 14:12:51,589 - INFO - [2025-06-11 14:12:51.589] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-053
2025-06-11 14:12:52,612 - INFO - [2025-06-11 14:12:52.612] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-054
2025-06-11 14:12:52,613 - INFO - [2025-06-11 14:12:52.613] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-054
2025-06-11 14:12:53,636 - INFO - [2025-06-11 14:12:53.636] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-055
2025-06-11 14:12:53,637 - INFO - [2025-06-11 14:12:53.636] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-055
2025-06-11 14:12:54,661 - INFO - [2025-06-11 14:12:54.661] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-056
2025-06-11 14:12:54,661 - INFO - [2025-06-11 14:12:54.661] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-056
2025-06-11 14:12:55,684 - INFO - [2025-06-11 14:12:55.684] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-057
2025-06-11 14:12:55,685 - INFO - [2025-06-11 14:12:55.684] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-057
2025-06-11 14:12:56,708 - INFO - [2025-06-11 14:12:56.708] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-058
2025-06-11 14:12:56,708 - INFO - [2025-06-11 14:12:56.708] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-058
